"Component Status","Product","Reference","Source","Responsible","Start","End","Deadline","State","Quantity Producing","Quantity To Produce","Total Quantity","Product/Cost","Product/Sales Price"
"Available","[FURN_7800] Desk Combination","WH/MO/04827","","Default User Template","2024-05-27 01:00:00","2024-06-28 01:00:00","2024-07-23 01:00:00","In Progress","3.0","3.0","3.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/01437","","OdooBot","2024-05-28 01:00:00","2024-06-13 01:00:00","2024-07-15 01:00:00","In Progress","15.0","15.0","15.0","290.0","520.0"
"Available","[FURN_8522] Table Top","WH/MO/04072","","Portal User Template","2024-05-28 01:00:00","2024-06-17 01:00:00","2024-07-06 01:00:00","Confirmed","6.0","6.0","6.0","240.0","380.0"
"Available","[FURN_8522] Table Top","WH/MO/04317","","Default User Template","2024-05-28 01:00:00","2024-06-19 01:00:00","2024-08-25 01:00:00","In Progress","15.0","15.0","15.0","240.0","380.0"
"Available","[FURN_7800] Desk Combination","WH/MO/07157","","Public user","2024-05-28 01:00:00","2024-07-06 01:00:00","2024-08-21 01:00:00","In Progress","16.0","16.0","16.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/05347","SO-6347","Portal User Template","2024-05-29 01:00:00","2024-06-13 01:00:00","2024-08-16 01:00:00","In Progress","1.0","1.0","1.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/05382","","Portal User Template","2024-05-29 01:00:00","2024-06-16 01:00:00","2024-08-18 01:00:00","Confirmed","19.0","19.0","19.0","300.0","450.0"
"Available","[FURN_7800] Desk Combination","WH/MO/05727","SO-6727","OdooBot","2024-05-29 01:00:00","2024-06-23 01:00:00","2024-07-30 01:00:00","In Progress","2.0","2.0","2.0","300.0","450.0"
"Available","[FURN_7800] Desk Combination","WH/MO/06382","","OdooBot","2024-05-29 01:00:00","2024-06-20 01:00:00","2024-07-17 01:00:00","Confirmed","20.0","20.0","20.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/08117","","Mitchell Admin","2024-06-03 01:00:00","2024-07-02 01:00:00","2024-08-17 01:00:00","In Progress","19.0","19.0","19.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/08842","","Default User Template","2024-06-03 01:00:00","2024-06-24 01:00:00","2024-08-18 01:00:00","Confirmed","8.0","8.0","8.0","80.0","100.0"
"Available","[FURN_8855] Drawer","WH/MO/00017","","Portal User Template","2024-06-04 01:00:00","2024-07-10 01:00:00","2024-08-26 01:00:00","In Progress","2.0","2.0","2.0","100.0","110.5"
"Available","[FURN_9666] Table","WH/MO/06197","","OdooBot","2024-06-04 01:00:00","2024-07-06 01:00:00","2024-09-05 01:00:00","In Progress","13.0","13.0","13.0","290.0","520.0"
"Available","[FURN_8522] Table Top","WH/MO/07212","","Portal User Template","2024-06-05 01:00:00","2024-06-22 01:00:00","2024-08-06 01:00:00","Confirmed","3.0","3.0","3.0","240.0","380.0"
"Available","[FURN_8855] Drawer","WH/MO/00722","","OdooBot","2024-06-06 01:00:00","2024-06-28 01:00:00","2024-08-14 01:00:00","Confirmed","7.0","7.0","7.0","100.0","110.5"
"Available","[FURN_8855] Drawer","WH/MO/02407","","OdooBot","2024-06-07 01:00:00","2024-07-07 01:00:00","2024-08-10 01:00:00","In Progress","20.0","20.0","20.0","100.0","110.5"
"Available","[FURN_7023] Wood Panel","WH/MO/00607","SO-1607","OdooBot","2024-06-09 01:00:00","2024-06-24 01:00:00","2024-08-08 01:00:00","In Progress","17.0","17.0","17.0","80.0","100.0"
"Available","[FURN_8522] Table Top","WH/MO/09332","","Portal User Template","2024-06-09 01:00:00","2024-07-05 01:00:00","2024-07-28 01:00:00","Confirmed","12.0","12.0","12.0","240.0","380.0"
"Available","[FURN_9666] Table","WH/MO/03537","","OdooBot","2024-06-10 01:00:00","2024-06-26 01:00:00","2024-09-06 01:00:00","In Progress","14.0","14.0","14.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/03782","","Default User Template","2024-06-12 01:00:00","2024-07-23 01:00:00","2024-08-13 01:00:00","Confirmed","20.0","20.0","20.0","80.0","100.0"
"Available","[FURN_7023] Wood Panel","WH/MO/07947","","Public user","2024-06-12 01:00:00","2024-06-26 01:00:00","2024-07-27 01:00:00","In Progress","16.0","16.0","16.0","80.0","100.0"
"Available","[FURN_7023] Wood Panel","WH/MO/03792","","Default User Template","2024-06-13 01:00:00","2024-07-22 01:00:00","2024-08-09 01:00:00","Confirmed","19.0","19.0","19.0","80.0","100.0"
"Available","[FURN_8522] Table Top","WH/MO/08022","","Public user","2024-06-14 01:00:00","2024-06-29 01:00:00","2024-08-07 01:00:00","Confirmed","11.0","11.0","11.0","240.0","380.0"
"Available","[FURN_9666] Table","WH/MO/02922","","Public user","2024-06-15 01:00:00","2024-07-22 01:00:00","2024-09-13 01:00:00","Confirmed","13.0","13.0","13.0","290.0","520.0"
"Available","[FURN_8522] Table Top","WH/MO/06677","SO-7677","Portal User Template","2024-06-15 01:00:00","2024-06-28 01:00:00","2024-08-07 01:00:00","In Progress","19.0","19.0","19.0","240.0","380.0"
"Available","[FURN_7800] Desk Combination","WH/MO/00362","","Default User Template","2024-06-18 01:00:00","2024-07-12 01:00:00","2024-09-06 01:00:00","Confirmed","12.0","12.0","12.0","300.0","450.0"
"Available","[FURN_8522] Table Top","WH/MO/03697","SO-4697","OdooBot","2024-06-18 01:00:00","2024-07-02 01:00:00","2024-08-31 01:00:00","In Progress","4.0","4.0","4.0","240.0","380.0"
"Available","[FURN_7023] Wood Panel","WH/MO/05682","","Public user","2024-06-18 01:00:00","2024-07-28 01:00:00","2024-08-27 01:00:00","Confirmed","8.0","8.0","8.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/05942","","Portal User Template","2024-06-18 01:00:00","2024-07-05 01:00:00","2024-08-11 01:00:00","Confirmed","15.0","15.0","15.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/02787","SO-3787","Portal User Template","2024-06-19 01:00:00","2024-07-14 01:00:00","2024-08-29 01:00:00","In Progress","18.0","18.0","18.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/02537","","Mitchell Admin","2024-06-20 01:00:00","2024-07-15 01:00:00","2024-08-02 01:00:00","In Progress","8.0","8.0","8.0","290.0","520.0"
"Available","[FURN_8855] Drawer","WH/MO/04187","","OdooBot","2024-06-20 01:00:00","2024-07-28 01:00:00","2024-09-21 01:00:00","In Progress","7.0","7.0","7.0","100.0","110.5"
"Available","[FURN_8522] Table Top","WH/MO/07092","","Mitchell Admin","2024-06-20 01:00:00","2024-07-12 01:00:00","2024-08-30 01:00:00","Confirmed","1.0","1.0","1.0","240.0","380.0"
"Available","[FURN_7800] Desk Combination","WH/MO/06922","","Default User Template","2024-06-21 01:00:00","2024-07-05 01:00:00","2024-09-23 01:00:00","Confirmed","11.0","11.0","11.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/09542","SO-10542","Public user","2024-06-21 01:00:00","2024-07-09 01:00:00","2024-08-12 01:00:00","Confirmed","1.0","1.0","1.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/04962","","Mitchell Admin","2024-06-22 01:00:00","2024-07-20 01:00:00","2024-09-21 01:00:00","Confirmed","10.0","10.0","10.0","290.0","520.0"
"Available","[FURN_8522] Table Top","WH/MO/05462","SO-6462","OdooBot","2024-06-22 01:00:00","2024-07-12 01:00:00","2024-09-13 01:00:00","Confirmed","3.0","3.0","3.0","240.0","380.0"
"Available","[FURN_8522] Table Top","WH/MO/00647","","Portal User Template","2024-06-23 01:00:00","2024-07-07 01:00:00","2024-09-18 01:00:00","In Progress","18.0","18.0","18.0","240.0","380.0"
"Available","[FURN_8855] Drawer","WH/MO/01032","","Default User Template","2024-06-23 01:00:00","2024-07-09 01:00:00","2024-09-06 01:00:00","Confirmed","9.0","9.0","9.0","100.0","110.5"
"Available","[FURN_7023] Wood Panel","WH/MO/02702","","Public user","2024-06-23 01:00:00","2024-07-08 01:00:00","2024-08-20 01:00:00","Confirmed","2.0","2.0","2.0","80.0","100.0"
"Available","[FURN_8855] Drawer","WH/MO/04822","","Default User Template","2024-06-23 01:00:00","2024-07-03 01:00:00","2024-08-07 01:00:00","Confirmed","9.0","9.0","9.0","100.0","110.5"
"Available","[FURN_9666] Table","WH/MO/08457","","Default User Template","2024-06-23 01:00:00","2024-07-31 01:00:00","2024-07-28 01:00:00","In Progress","17.0","17.0","17.0","290.0","520.0"
"Available","[FURN_9666] Table","WH/MO/08812","","OdooBot","2024-06-23 01:00:00","2024-07-06 01:00:00","2024-08-14 01:00:00","Confirmed","14.0","14.0","14.0","290.0","520.0"
"Available","[FURN_9666] Table","WH/MO/05822","","OdooBot","2024-06-24 01:00:00","2024-07-29 01:00:00","2024-08-21 01:00:00","Confirmed","20.0","20.0","20.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/06227","","OdooBot","2024-06-24 01:00:00","2024-07-11 01:00:00","2024-09-03 01:00:00","In Progress","19.0","19.0","19.0","300.0","450.0"
"Available","[FURN_8855] Drawer","WH/MO/00177","","Default User Template","2024-06-25 01:00:00","2024-07-27 01:00:00","2024-08-31 01:00:00","In Progress","13.0","13.0","13.0","100.0","110.5"
"Available","[FURN_7800] Desk Combination","WH/MO/05792","","Public user","2024-06-25 01:00:00","2024-08-06 01:00:00","2024-08-14 01:00:00","Confirmed","7.0","7.0","7.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/06942","","Portal User Template","2024-06-25 01:00:00","2024-07-31 01:00:00","2024-08-06 01:00:00","Confirmed","16.0","16.0","16.0","80.0","100.0"
"Available","[FURN_8855] Drawer","WH/MO/03932","","Public user","2024-06-26 01:00:00","2024-08-07 01:00:00","2024-08-31 01:00:00","Confirmed","7.0","7.0","7.0","100.0","110.5"
"Available","[FURN_8522] Table Top","WH/MO/09467","","OdooBot","2024-06-27 01:00:00","2024-07-15 01:00:00","2024-09-21 01:00:00","In Progress","3.0","3.0","3.0","240.0","380.0"
"Available","[FURN_9666] Table","WH/MO/02442","","Portal User Template","2024-06-28 01:00:00","2024-08-01 01:00:00","2024-09-29 01:00:00","Confirmed","20.0","20.0","20.0","290.0","520.0"
"Available","[FURN_9666] Table","WH/MO/03472","SO-4472","OdooBot","2024-06-28 01:00:00","2024-07-21 01:00:00","2024-09-05 01:00:00","Confirmed","8.0","8.0","8.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/08597","SO-9597","Mitchell Admin","2024-06-28 01:00:00","2024-08-07 01:00:00","2024-08-13 01:00:00","In Progress","20.0","20.0","20.0","80.0","100.0"
"Available","[FURN_8522] Table Top","WH/MO/09272","SO-10272","Mitchell Admin","2024-06-28 01:00:00","2024-07-10 01:00:00","2024-08-17 01:00:00","Confirmed","6.0","6.0","6.0","240.0","380.0"
"Available","[FURN_8522] Table Top","WH/MO/04832","","Portal User Template","2024-06-30 01:00:00","2024-07-29 01:00:00","2024-09-03 01:00:00","Confirmed","4.0","4.0","4.0","240.0","380.0"
"Available","[FURN_7800] Desk Combination","WH/MO/08897","","Mitchell Admin","2024-07-03 01:00:00","2024-07-28 01:00:00","2024-10-08 01:00:00","In Progress","7.0","7.0","7.0","300.0","450.0"
"Available","[FURN_7800] Desk Combination","WH/MO/04052","","Public user","2024-07-04 01:00:00","2024-08-04 01:00:00","2024-08-30 01:00:00","Confirmed","2.0","2.0","2.0","300.0","450.0"
"Available","[FURN_8522] Table Top","WH/MO/04502","SO-5502","Default User Template","2024-07-04 01:00:00","2024-08-07 01:00:00","2024-09-07 01:00:00","Confirmed","2.0","2.0","2.0","240.0","380.0"
"Available","[FURN_8522] Table Top","WH/MO/07872","SO-8872","Mitchell Admin","2024-07-05 01:00:00","2024-08-08 01:00:00","2024-09-24 01:00:00","Confirmed","17.0","17.0","17.0","240.0","380.0"
"Available","[FURN_8855] Drawer","WH/MO/01302","","Mitchell Admin","2024-07-06 01:00:00","2024-08-15 01:00:00","2024-10-09 01:00:00","Confirmed","2.0","2.0","2.0","100.0","110.5"
"Available","[FURN_8855] Drawer","WH/MO/00657","","Mitchell Admin","2024-07-08 01:00:00","2024-08-16 01:00:00","2024-08-24 01:00:00","In Progress","18.0","18.0","18.0","100.0","110.5"
"Available","[FURN_7800] Desk Combination","WH/MO/00987","SO-1987","OdooBot","2024-07-09 01:00:00","2024-08-10 01:00:00","2024-10-10 01:00:00","In Progress","19.0","19.0","19.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/02302","","Default User Template","2024-07-09 01:00:00","2024-07-31 01:00:00","2024-10-01 01:00:00","Confirmed","20.0","20.0","20.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/08932","","Portal User Template","2024-07-09 01:00:00","2024-08-11 01:00:00","2024-10-10 01:00:00","Confirmed","19.0","19.0","19.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/04092","","Mitchell Admin","2024-07-10 01:00:00","2024-08-13 01:00:00","2024-08-19 01:00:00","Confirmed","2.0","2.0","2.0","300.0","450.0"
"Available","[FURN_8522] Table Top","WH/MO/07037","","Default User Template","2024-07-10 01:00:00","2024-08-01 01:00:00","2024-08-16 01:00:00","In Progress","8.0","8.0","8.0","240.0","380.0"
"Available","[FURN_7800] Desk Combination","WH/MO/04682","","Default User Template","2024-07-12 01:00:00","2024-08-18 01:00:00","2024-08-20 01:00:00","Confirmed","11.0","11.0","11.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/06787","","Public user","2024-07-14 01:00:00","2024-08-02 01:00:00","2024-09-09 01:00:00","In Progress","13.0","13.0","13.0","80.0","100.0"
"Available","[FURN_7023] Wood Panel","WH/MO/09452","","OdooBot","2024-07-15 01:00:00","2024-08-16 01:00:00","2024-09-20 01:00:00","Confirmed","9.0","9.0","9.0","80.0","100.0"
"Available","[FURN_7800] Desk Combination","WH/MO/01192","","Public user","2024-07-16 01:00:00","2024-08-09 01:00:00","2024-09-27 01:00:00","Confirmed","3.0","3.0","3.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/09062","","OdooBot","2024-07-16 01:00:00","2024-08-01 01:00:00","2024-09-09 01:00:00","Confirmed","7.0","7.0","7.0","290.0","520.0"
"Available","[FURN_8855] Drawer","WH/MO/06757","","Mitchell Admin","2024-07-17 01:00:00","2024-08-25 01:00:00","2024-09-19 01:00:00","In Progress","14.0","14.0","14.0","100.0","110.5"
"Available","[FURN_8522] Table Top","WH/MO/09842","","Mitchell Admin","2024-07-17 01:00:00","2024-08-04 01:00:00","2024-08-29 01:00:00","Confirmed","9.0","9.0","9.0","240.0","380.0"
"Available","[FURN_7800] Desk Combination","WH/MO/02687","","Default User Template","2024-07-18 01:00:00","2024-08-11 01:00:00","2024-10-12 01:00:00","In Progress","20.0","20.0","20.0","300.0","450.0"
"Available","[FURN_8522] Table Top","WH/MO/05192","","Portal User Template","2024-07-18 01:00:00","2024-08-10 01:00:00","2024-09-13 01:00:00","Confirmed","10.0","10.0","10.0","240.0","380.0"
"Available","[FURN_7023] Wood Panel","WH/MO/07137","","Mitchell Admin","2024-07-18 01:00:00","2024-08-07 01:00:00","2024-10-06 01:00:00","In Progress","1.0","1.0","1.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/05437","SO-6437","Public user","2024-07-19 01:00:00","2024-08-14 01:00:00","2024-10-12 01:00:00","In Progress","19.0","19.0","19.0","290.0","520.0"
"Available","[FURN_8522] Table Top","WH/MO/07272","","Mitchell Admin","2024-07-19 01:00:00","2024-08-01 01:00:00","2024-09-13 01:00:00","Confirmed","11.0","11.0","11.0","240.0","380.0"
"Available","[FURN_8855] Drawer","WH/MO/02797","","Public user","2024-07-24 01:00:00","2024-08-29 01:00:00","2024-09-24 01:00:00","In Progress","10.0","10.0","10.0","100.0","110.5"
"Available","[FURN_8855] Drawer","WH/MO/00117","SO-1117","Default User Template","2024-07-25 01:00:00","2024-08-25 01:00:00","2024-09-25 01:00:00","In Progress","10.0","10.0","10.0","100.0","110.5"
"Available","[FURN_7800] Desk Combination","WH/MO/02622","","Mitchell Admin","2024-07-27 01:00:00","2024-08-15 01:00:00","2024-09-30 01:00:00","Confirmed","14.0","14.0","14.0","300.0","450.0"
"Available","[FURN_8522] Table Top","WH/MO/04112","SO-5112","Mitchell Admin","2024-07-27 01:00:00","2024-08-11 01:00:00","2024-10-04 01:00:00","Confirmed","11.0","11.0","11.0","240.0","380.0"
"Available","[FURN_9666] Table","WH/MO/07067","","Default User Template","2024-07-27 01:00:00","2024-08-20 01:00:00","2024-10-29 01:00:00","In Progress","11.0","11.0","11.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/09457","","OdooBot","2024-07-27 01:00:00","2024-08-30 01:00:00","2024-10-31 01:00:00","In Progress","10.0","10.0","10.0","80.0","100.0"
"Available","[FURN_7800] Desk Combination","WH/MO/05322","","Portal User Template","2024-07-29 01:00:00","2024-08-30 01:00:00","2024-10-11 01:00:00","Confirmed","20.0","20.0","20.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/06097","","Default User Template","2024-07-29 01:00:00","2024-08-25 01:00:00","2024-10-03 01:00:00","In Progress","8.0","8.0","8.0","80.0","100.0"
"Available","[FURN_7800] Desk Combination","WH/MO/09787","","Portal User Template","2024-07-29 01:00:00","2024-08-26 01:00:00","2024-10-28 01:00:00","In Progress","4.0","4.0","4.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/09057","","Default User Template","2024-07-31 01:00:00","2024-08-28 01:00:00","2024-10-21 01:00:00","In Progress","18.0","18.0","18.0","290.0","520.0"
"Available","[FURN_8855] Drawer","WH/MO/02107","","Public user","2024-08-01 01:00:00","2024-09-10 01:00:00","2024-09-22 01:00:00","In Progress","19.0","19.0","19.0","100.0","110.5"
"Available","[FURN_7023] Wood Panel","WH/MO/09712","SO-10712","Public user","2024-08-03 01:00:00","2024-08-17 01:00:00","2024-10-23 01:00:00","Confirmed","14.0","14.0","14.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/09762","","Default User Template","2024-08-04 01:00:00","2024-09-10 01:00:00","2024-09-13 01:00:00","Confirmed","19.0","19.0","19.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/08872","","Mitchell Admin","2024-08-05 01:00:00","2024-09-14 01:00:00","2024-10-10 01:00:00","Confirmed","14.0","14.0","14.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/04197","","Mitchell Admin","2024-08-06 01:00:00","2024-09-06 01:00:00","2024-09-26 01:00:00","In Progress","3.0","3.0","3.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/01457","SO-2457","Mitchell Admin","2024-08-08 01:00:00","2024-09-08 01:00:00","2024-11-03 01:00:00","In Progress","5.0","5.0","5.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/01197","","Mitchell Admin","2024-08-09 01:00:00","2024-08-31 01:00:00","2024-10-05 01:00:00","In Progress","2.0","2.0","2.0","290.0","520.0"
"Available","[FURN_8855] Drawer","WH/MO/00487","SO-1487","Mitchell Admin","2024-08-10 01:00:00","2024-09-11 01:00:00","2024-09-21 01:00:00","In Progress","20.0","20.0","20.0","100.0","110.5"
"Available","[FURN_7023] Wood Panel","WH/MO/08032","","OdooBot","2024-08-10 01:00:00","2024-09-21 01:00:00","2024-10-10 01:00:00","Confirmed","19.0","19.0","19.0","80.0","100.0"
"Available","[FURN_7800] Desk Combination","WH/MO/00757","","Public user","2024-08-12 01:00:00","2024-09-07 01:00:00","2024-10-23 01:00:00","In Progress","14.0","14.0","14.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/03527","","Public user","2024-08-12 01:00:00","2024-08-31 01:00:00","2024-09-18 01:00:00","In Progress","7.0","7.0","7.0","80.0","100.0"
"Available","[FURN_8855] Drawer","WH/MO/06602","","Mitchell Admin","2024-08-14 01:00:00","2024-09-12 01:00:00","2024-11-20 01:00:00","Confirmed","20.0","20.0","20.0","100.0","110.5"
"Available","[FURN_8855] Drawer","WH/MO/01227","SO-2227","OdooBot","2024-08-16 01:00:00","2024-09-04 01:00:00","2024-10-14 01:00:00","In Progress","20.0","20.0","20.0","100.0","110.5"
"Available","[FURN_9666] Table","WH/MO/06387","SO-7387","Mitchell Admin","2024-08-17 01:00:00","2024-09-07 01:00:00","2024-10-03 01:00:00","In Progress","5.0","5.0","5.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/01152","SO-2152","Default User Template","2024-08-18 01:00:00","2024-09-27 01:00:00","2024-09-30 01:00:00","Confirmed","5.0","5.0","5.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/02642","","Portal User Template","2024-08-18 01:00:00","2024-09-06 01:00:00","2024-11-03 01:00:00","Confirmed","1.0","1.0","1.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/00577","","Mitchell Admin","2024-08-19 01:00:00","2024-09-10 01:00:00","2024-10-21 01:00:00","In Progress","20.0","20.0","20.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/05907","","Public user","2024-08-19 01:00:00","2024-09-02 01:00:00","2024-10-03 01:00:00","In Progress","8.0","8.0","8.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/06887","","Portal User Template","2024-08-20 01:00:00","2024-09-14 01:00:00","2024-10-02 01:00:00","In Progress","14.0","14.0","14.0","290.0","520.0"
"Available","[FURN_9666] Table","WH/MO/09447","","Default User Template","2024-08-20 01:00:00","2024-09-08 01:00:00","2024-11-18 01:00:00","In Progress","5.0","5.0","5.0","290.0","520.0"
"Available","[FURN_8855] Drawer","WH/MO/05427","","OdooBot","2024-08-21 01:00:00","2024-09-25 01:00:00","2024-10-14 01:00:00","In Progress","1.0","1.0","1.0","100.0","110.5"
"Available","[FURN_7800] Desk Combination","WH/MO/01272","SO-2272","OdooBot","2024-08-22 01:00:00","2024-09-30 01:00:00","2024-10-03 01:00:00","Confirmed","2.0","2.0","2.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/06207","SO-7207","Default User Template","2024-08-22 01:00:00","2024-09-09 01:00:00","2024-11-11 01:00:00","In Progress","20.0","20.0","20.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/09147","SO-10147","OdooBot","2024-08-22 01:00:00","2024-09-18 01:00:00","2024-11-05 01:00:00","In Progress","7.0","7.0","7.0","290.0","520.0"
"Available","[FURN_9666] Table","WH/MO/04157","","Portal User Template","2024-08-23 01:00:00","2024-09-26 01:00:00","2024-10-15 01:00:00","In Progress","1.0","1.0","1.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/07937","","Mitchell Admin","2024-08-23 01:00:00","2024-09-05 01:00:00","2024-10-30 01:00:00","In Progress","12.0","12.0","12.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/02467","SO-3467","Mitchell Admin","2024-08-24 01:00:00","2024-09-07 01:00:00","2024-10-06 01:00:00","In Progress","13.0","13.0","13.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/06077","","OdooBot","2024-08-24 01:00:00","2024-09-26 01:00:00","2024-10-03 01:00:00","In Progress","11.0","11.0","11.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/06492","","Mitchell Admin","2024-08-26 01:00:00","2024-09-27 01:00:00","2024-10-20 01:00:00","Confirmed","7.0","7.0","7.0","80.0","100.0"
"Available","[FURN_7023] Wood Panel","WH/MO/01077","","Public user","2024-08-28 01:00:00","2024-09-21 01:00:00","2024-11-15 01:00:00","In Progress","1.0","1.0","1.0","80.0","100.0"
"Available","[FURN_8855] Drawer","WH/MO/04817","","Portal User Template","2024-08-28 01:00:00","2024-09-28 01:00:00","2024-10-14 01:00:00","In Progress","10.0","10.0","10.0","100.0","110.5"
"Available","[FURN_7023] Wood Panel","WH/MO/00662","","Public user","2024-08-29 01:00:00","2024-10-02 01:00:00","2024-11-07 01:00:00","Confirmed","14.0","14.0","14.0","80.0","100.0"
"Available","[FURN_8855] Drawer","WH/MO/03267","","Public user","2024-08-29 01:00:00","2024-09-17 01:00:00","2024-11-08 01:00:00","In Progress","13.0","13.0","13.0","100.0","110.5"
"Available","[FURN_8855] Drawer","WH/MO/07842","SO-8842","Default User Template","2024-08-31 01:00:00","2024-09-17 01:00:00","2024-12-04 01:00:00","Confirmed","17.0","17.0","17.0","100.0","110.5"
"Available","[FURN_7800] Desk Combination","WH/MO/08177","SO-9177","Public user","2024-08-31 01:00:00","2024-10-09 01:00:00","2024-11-03 01:00:00","In Progress","3.0","3.0","3.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/02507","","Public user","2024-09-01 01:00:00","2024-10-12 01:00:00","2024-11-17 01:00:00","In Progress","4.0","4.0","4.0","80.0","100.0"
"Available","[FURN_7800] Desk Combination","WH/MO/06742","SO-7742","Default User Template","2024-09-03 01:00:00","2024-09-29 01:00:00","2024-10-25 01:00:00","Confirmed","4.0","4.0","4.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/03662","","OdooBot","2024-09-04 01:00:00","2024-10-06 01:00:00","2024-10-12 01:00:00","Confirmed","16.0","16.0","16.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/09402","SO-10402","Portal User Template","2024-09-04 01:00:00","2024-09-23 01:00:00","2024-10-23 01:00:00","Confirmed","14.0","14.0","14.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/03092","","OdooBot","2024-09-05 01:00:00","2024-09-19 01:00:00","2024-10-29 01:00:00","Confirmed","2.0","2.0","2.0","80.0","100.0"
"Available","[FURN_8522] Table Top","WH/MO/07847","SO-8847","Public user","2024-09-05 01:00:00","2024-09-21 01:00:00","2024-12-11 01:00:00","In Progress","7.0","7.0","7.0","240.0","380.0"
"Available","[FURN_7023] Wood Panel","WH/MO/08637","SO-9637","OdooBot","2024-09-05 01:00:00","2024-10-06 01:00:00","2024-11-08 01:00:00","In Progress","20.0","20.0","20.0","80.0","100.0"
"Available","[FURN_8855] Drawer","WH/MO/03347","","Mitchell Admin","2024-09-07 01:00:00","2024-10-03 01:00:00","2024-11-01 01:00:00","In Progress","10.0","10.0","10.0","100.0","110.5"
"Available","[FURN_8522] Table Top","WH/MO/07047","","Default User Template","2024-09-07 01:00:00","2024-09-18 01:00:00","2024-10-22 01:00:00","In Progress","4.0","4.0","4.0","240.0","380.0"
"Available","[FURN_7023] Wood Panel","WH/MO/06107","","Mitchell Admin","2024-09-09 01:00:00","2024-09-24 01:00:00","2024-10-18 01:00:00","In Progress","17.0","17.0","17.0","80.0","100.0"
"Available","[FURN_8522] Table Top","WH/MO/09892","","OdooBot","2024-09-09 01:00:00","2024-10-05 01:00:00","2024-11-05 01:00:00","Confirmed","9.0","9.0","9.0","240.0","380.0"
"Available","[FURN_7800] Desk Combination","WH/MO/00967","","OdooBot","2024-09-10 01:00:00","2024-09-26 01:00:00","2024-11-17 01:00:00","In Progress","7.0","7.0","7.0","300.0","450.0"
"Available","[FURN_8855] Drawer","WH/MO/00852","SO-1852","OdooBot","2024-09-11 01:00:00","2024-09-30 01:00:00","2024-11-28 01:00:00","Confirmed","17.0","17.0","17.0","100.0","110.5"
"Available","[FURN_7800] Desk Combination","WH/MO/01137","SO-2137","Public user","2024-09-11 01:00:00","2024-10-22 01:00:00","2024-10-30 01:00:00","In Progress","2.0","2.0","2.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/09082","SO-10082","OdooBot","2024-09-11 01:00:00","2024-09-28 01:00:00","2024-11-17 01:00:00","Confirmed","7.0","7.0","7.0","80.0","100.0"
